faculty_name,faculty_contact,faculty_email,department,department_id,position,salary,dob,gender,address
Chatresh Prashad,7118045209,chatresh.prashad@gmail.com,ME,4,Associate Professor,75341,1968-06-06,Male,"46/837, Bhavsar Street, Gulbarga 353178"
Ati Bandi,7916700502,ati.bandi@gmail.com,ME,4,Associate Professor,89670,1986-05-30,Male,"995, Lal Circle, Sambalpur-817611"
Chavvi Kumer,7621671003,chavvi.kumer@gmail.com,ME,4,Assistant Professor,53342,1981-02-04,Female,"35/462, Varkey, Chandigarh 898232"
Timothy Khurana,9905518788,timothy.khurana@gmail.com,ME,4,Assistant Professor,51030,1966-11-05,Female,"96/176, Dasgupta Ganj, Shahjahanpur 737204"
Nitara Saran,8222956963,nitara.saran@gmail.com,ME,4,Assistant Professor,69333,1994-06-03,Female,"44/424, Ramanathan Nagar, Fatehpur 849359"
Ekanta Hans,8137713852,ekanta.hans@gmail.com,ME,4,Assistant Professor,65910,1974-12-01,Male,"75/288, Grewal Circle, Bhiwani 422738"
Yashica Salvi,8616542215,yashica.salvi@gmail.com,ME,4,Assistant Professor,65814,1964-10-03,Female,"92/71, Korpal Path, Guntakal 042376"
Vedika Mitra,7066961388,vedika.mitra@gmail.com,ME,4,Assistant Professor,55376,1998-04-07,Male,"H.No. 463, Goswami Street, Motihari-451752"
Chandran Krishna,8330651965,chandran.krishna@gmail.com,ME,4,Assistant Professor,50937,1974-08-30,Male,"86/56, Merchant Street, Gopalpur 807062"
Janani Kapur,7337534362,janani.kapur@gmail.com,ME,4,Assistant Professor,63118,1979-11-25,Female,"95/162, Balay Road, Mehsana 573452"
Reyansh Sehgal,8951785546,reyansh.sehgal@gmail.com,ME,4,Assistant Professor,64488,1985-11-03,Male,"H.No. 610, Swamy Path, Sikar 215704"
Meghana Banik,9739046581,meghana.banik@gmail.com,ME,4,Assistant Professor,51616,1963-12-06,Female,"686, Shere Nagar, Kishanganj-329740"
Abeer Patla,9987354991,abeer.patla@gmail.com,ME,4,Assistant Professor,60276,1993-07-12,Male,"73, Pandey Circle, Sambalpur-682687"
Banjeet Shah,9985151831,banjeet.shah@gmail.com,ME,4,Assistant Professor,58657,1981-10-19,Female,"65/215, Narain Ganj, Guna 778110"
Yashodhara Pillai,7791104795,yashodhara.pillai@gmail.com,ME,4,Assistant Professor,64368,1992-05-15,Female,"H.No. 01, Raghavan Nagar, Mango 512779"
Falak Rama,9532087967,falak.rama@gmail.com,CE,5,HOD,134939,1997-08-19,Female,"65/66, Gala Chowk, Machilipatnam-657236"
Samesh Das,9744856967,samesh.das@gmail.com,CE,5,Professor,95645,1997-03-15,Male,"28/64, Aggarwal Chowk, Chittoor 473420"
Anusha Nigam,9218400534,anusha.nigam@gmail.com,CE,5,Professor,105628,1978-09-20,Female,"340, Johal Zila, Raurkela Industrial Township-732776"
Christopher Comar,7293686690,christopher.comar@gmail.com,CE,5,Associate Professor,84719,1989-12-31,Male,"16/290, Nazareth Marg, Hospet 190222"
Jasmit Ganesh,7531525084,jasmit.ganesh@gmail.com,CE,5,Associate Professor,85455,1987-02-21,Female,"H.No. 40, Ravi Zila, Haldia 520451"
Brijesh Brar,7563131406,brijesh.brar@gmail.com,CE,5,Associate Professor,88207,1964-09-07,Male,"H.No. 405, Sanghvi Street, Sonipat-958158"
Falan Mohanty,8728281411,falan.mohanty@gmail.com,CE,5,Associate Professor,80921,1981-07-20,Male,"338, Bhakta, Bidhannagar-621357"
Nidra Kulkarni,9664672828,nidra.kulkarni@gmail.com,CE,5,Assistant Professor,61929,1967-05-08,Female,"68/411, Randhawa Street, Medininagar 635849"
Chatresh Chauhan,8930922662,chatresh.chauhan@gmail.com,CE,5,Assistant Professor,58520,1977-03-17,Female,"084, Shetty Ganj, Srikakulam-199811"
Wazir Lanka,8529962247,wazir.lanka@gmail.com,CE,5,Assistant Professor,64357,1967-06-30,Male,"25, Arya Zila, Aizawl-702247"
Jeremiah Deep,8218759977,jeremiah.deep@gmail.com,CE,5,Assistant Professor,59661,1962-06-02,Male,"42, Balay Marg, Sangli-Miraj & Kupwad-904465"
Damyanti Gupta,9954338537,damyanti.gupta@gmail.com,CE,5,Assistant Professor,51714,1966-06-26,Male,"35, Menon Circle, Dehri-252641"
Zarna Mital,7704192245,zarna.mital@gmail.com,CE,5,Assistant Professor,53316,1963-12-27,Male,"31/34, Ramesh Circle, Kurnool-889528"
Jatin Pillai,7178719745,jatin.pillai@gmail.com,CE,5,Assistant Professor,56983,1995-04-05,Male,"73/402, Hans Road, Sambhal 531869"
Frederick Mane,7382215502,frederick.mane@gmail.com,CE,5,Assistant Professor,61352,1990-08-14,Male,"04, Gola Chowk, Udaipur-438482"
Aarav Mann,8076639109,aarav.mann@gmail.com,CE,5,Assistant Professor,58996,1994-01-18,Male,"41, Bhat Road, Bhilai 319609"
Chaaya Arya,8523971455,chaaya.arya@gmail.com,CE,5,Assistant Professor,51253,1971-04-29,Male,"H.No. 63, Majumdar Nagar, Bathinda 171351"
Qarin Atwal,9182595073,qarin.atwal@gmail.com,CE,5,Assistant Professor,66644,1965-10-04,Female,"750, Shankar Marg, Delhi-414614"
Avi Bajaj,8052565207,avi.bajaj@gmail.com,CE,5,Assistant Professor,54229,1982-08-25,Male,"19/129, Goyal Nagar, Durg 279821"
Rachana Bhasin,9647573776,rachana.bhasin@gmail.com,CE,5,Assistant Professor,59641,1980-05-20,Female,"28/57, Mandal Marg, Bellary 464421"
