student_name,student_contact,student_email,roll_no,semester,department,department_id,grade,father_name
Baghyawati Narayan,7189906804,baghyawati.narayan@gmail.com,CSE24058,5,CSE,1,A+,Dakshesh Narayan
Anmol Khanna,7256746038,anmol.khanna@gmail.com,CSE24059,1,CSE,1,C,Jason Khanna
Chatresh Barad,9354580425,chatresh.barad@gmail.com,CSE24060,2,CSE,1,A+,Finn Barad
Ikbal Bhatt,8582704595,ikbal.bhatt@gmail.com,CSE24061,5,CSE,1,A,Robert Bhatt
Chakradhar Vig,9454904158,chakradhar.vig@gmail.com,AI24062,1,AI,3,C,Tanay Vig
Ucchal Desai,9228613240,ucchal.desai@gmail.com,IT24063,3,IT,2,B+,Nachiket Desai
Bina Chowdhury,7418355915,bina.chowdhury@gmail.com,CSE24064,8,CSE,1,A+,Advay Chowdhury
Owen Gokhale,7204882454,owen.gokhale@gmail.com,CSE24065,7,CSE,1,B,Teerth Gokhale
Urmi Babu,9154936073,urmi.babu@gmail.com,CSE24066,4,CSE,1,B+,Manthan Babu
Aditya Edwin,8830017583,aditya.edwin@gmail.com,ME24067,3,ME,4,B+,Chakradhar Edwin
Anay Zachariah,9999619322,anay.zachariah@gmail.com,ME24068,4,ME,4,B,Liam Zachariah
Vivaan Thakur,8744619511,vivaan.thakur@gmail.com,CSE24069,2,CSE,1,C,Patrick Thakur
Dhruv Guha,9589406984,dhruv.guha@gmail.com,CSE24070,2,CSE,1,B,Pranit Guha
Jacob Chaudry,7282778422,jacob.chaudry@gmail.com,CSE24071,5,CSE,1,B,Faraj Chaudry
Ojas Ramachandran,7416650420,ojas.ramachandran@gmail.com,ME24072,8,ME,4,A+,Kabir Ramachandran
Yashodhara Krish,8761969213,yashodhara.krish@gmail.com,CSE24073,5,CSE,1,C,Qabil Krish
Priya Mahal,7519364002,priya.mahal@gmail.com,CSE24074,3,CSE,1,A,Hritik Mahal
Unnati Mohanty,9173293646,unnati.mohanty@gmail.com,AI24075,2,AI,3,B+,Charles Mohanty
Nicholas Walla,7749564146,nicholas.walla@gmail.com,AI24076,1,AI,3,A+,Max Walla
Mugdha Subramaniam,9485070655,mugdha.subramaniam@gmail.com,AI24077,4,AI,3,A,Rudra Subramaniam
Hiral Ahluwalia,8374318664,hiral.ahluwalia@gmail.com,IT24078,6,IT,2,C,Ronith Ahluwalia
Rohan Kulkarni,7696790099,rohan.kulkarni@gmail.com,CSE24079,8,CSE,1,A,Vedant Kulkarni
Avi Choudhry,7022813922,avi.choudhry@gmail.com,CSE24080,3,CSE,1,A+,Benjamin Choudhry
Umang Sandhu,7858861652,umang.sandhu@gmail.com,AI24081,3,AI,3,B+,Anthony Sandhu
Irya Kala,9847375582,irya.kala@gmail.com,CSE24082,4,CSE,1,B,Ronith Kala
Qasim Murty,9663531924,qasim.murty@gmail.com,CE24083,6,CE,5,B+,Fiyaz Murty
Inaya Bandi,7539395692,inaya.bandi@gmail.com,CSE24084,7,CSE,1,B+,Yuvraj Bandi
Isaiah Narayan,7386931403,isaiah.narayan@gmail.com,IT24085,8,IT,2,A,Gagan Narayan
Aayush Mittal,9819140382,aayush.mittal@gmail.com,IT24086,8,IT,2,A+,Ekalinga Mittal
Tanveer Gandhi,7923613353,tanveer.gandhi@gmail.com,ME24087,3,ME,4,C,Tristan Gandhi
Pratyush Chaudhary,8842262248,pratyush.chaudhary@gmail.com,CSE24088,1,CSE,1,B,Yatin Chaudhary
Anirudh Ratti,9318366623,anirudh.ratti@gmail.com,CE24089,6,CE,5,A+,Champak Ratti
Ira Bains,8921932039,ira.bains@gmail.com,CE24090,7,CE,5,A+,Theodore Bains
Libni Contractor,7680941896,libni.contractor@gmail.com,AI24091,3,AI,3,B,Pranav Contractor
Kiaan Dash,7483537931,kiaan.dash@gmail.com,IT24092,1,IT,2,C,Timothy Dash
Banjeet Balasubramanian,8998434808,banjeet.balasubramanian@gmail.com,CSE24093,7,CSE,1,B,Faris Balasubramanian
Vanya Das,9423282749,vanya.das@gmail.com,CSE24094,4,CSE,1,C,Andrew Das
Logan Patil,8450510331,logan.patil@gmail.com,CE24095,6,CE,5,B+,Oliver Patil
Aarna Wason,9949872272,aarna.wason@gmail.com,CE24096,2,CE,5,A+,Avi Wason
Ekapad Char,9051931425,ekapad.char@gmail.com,ME24097,8,ME,4,C,Tristan Char
Keya Bhat,7966593275,keya.bhat@gmail.com,CE24098,1,CE,5,C,Gabriel Bhat
Upkaar Parmer,7586693947,upkaar.parmer@gmail.com,CSE24099,1,CSE,1,C,Viraj Parmer
Ekavir Deol,9091101666,ekavir.deol@gmail.com,AI24100,8,AI,3,A+,Ayush Deol
Nathan Sandhu,8691232167,nathan.sandhu@gmail.com,AI24101,2,AI,3,C,Sathvik Sandhu
Ijaya Baral,7079734522,ijaya.baral@gmail.com,CSE24102,8,CSE,1,B+,Kai Baral
Omkaar Dua,8506633733,omkaar.dua@gmail.com,ME24103,2,ME,4,A+,George Dua
Frederick Sundaram,7253744931,frederick.sundaram@gmail.com,IT24104,7,IT,2,C,Bakhshi Sundaram
Orinder Nath,8213845234,orinder.nath@gmail.com,CSE24105,3,CSE,1,A,Dakshesh Nath
Eiravati Reddy,9087349845,eiravati.reddy@gmail.com,CSE24106,5,CSE,1,C,Dakshesh Reddy
Dominic Swamy,8915592099,dominic.swamy@gmail.com,AI24107,3,AI,3,A+,Ayush Swamy
Yatan Memon,9276800221,yatan.memon@gmail.com,CE24108,4,CE,5,B+,Dominic Memon
Wishi Shetty,7923167330,wishi.shetty@gmail.com,CSE24109,4,CSE,1,A+,Charan Shetty
Isaac Virk,9456108207,isaac.virk@gmail.com,CSE24110,7,CSE,1,B+,Ikbal Virk
Ekapad Mannan,8849295912,ekapad.mannan@gmail.com,IT24111,1,IT,2,A+,Pratyush Mannan
Waida Dutta,7802615953,waida.dutta@gmail.com,AI24112,6,AI,3,A+,Jatin Dutta
Avni Prabhakar,8882543798,avni.prabhakar@gmail.com,IT24113,2,IT,2,B,Yash Prabhakar
Kevin Mannan,8498472581,kevin.mannan@gmail.com,AI24114,6,AI,3,B,Luke Mannan
Azaan Mishra,9094777209,azaan.mishra@gmail.com,ME24115,6,ME,4,C,Fiyaz Mishra
Gopal Parekh,7482192566,gopal.parekh@gmail.com,IT24116,5,IT,2,A,Yash Parekh
Gautami Kannan,7710601351,gautami.kannan@gmail.com,AI24117,5,AI,3,A,Samesh Kannan
Ubika Mani,7000846906,ubika.mani@gmail.com,CE24118,4,CE,5,A,Laksh Mani
Gunbir Dara,9436809106,gunbir.dara@gmail.com,CE24119,4,CE,5,C,Jagat Dara
Falan Sahota,9910446485,falan.sahota@gmail.com,ME24120,6,ME,4,C,Jagdish Sahota
Ojasvi Chahal,8790523861,ojasvi.chahal@gmail.com,CSE24121,7,CSE,1,B,Lohit Chahal
Lajita Mody,7077020725,lajita.mody@gmail.com,AI24122,4,AI,3,A+,Ranveer Mody
Krishna Bora,9755766037,krishna.bora@gmail.com,CE24123,4,CE,5,A,Faras Bora
Gagan Bahl,9791359539,gagan.bahl@gmail.com,ME24124,8,ME,4,A+,Udant Bahl
Tamanna Kurian,9233727917,tamanna.kurian@gmail.com,CSE24125,2,CSE,1,A+,Umang Kurian
Anvi Guha,7564226818,anvi.guha@gmail.com,IT24126,2,IT,2,A,Ekaraj Guha
Ansh Panchal,8351466009,ansh.panchal@gmail.com,CSE24127,7,CSE,1,A,Rohan Panchal
Tristan Bhatnagar,8545442464,tristan.bhatnagar@gmail.com,ME24128,3,ME,4,C,Farhan Bhatnagar
Champak Yogi,8785843329,champak.yogi@gmail.com,ME24129,6,ME,4,B+,Andrew Yogi
Darsh Bail,9598122296,darsh.bail@gmail.com,IT24130,6,IT,2,C,Rohan Bail
Kala Sani,7198601843,kala.sani@gmail.com,IT24131,6,IT,2,C,Dhruv Sani
Abha Bahri,8893744591,abha.bahri@gmail.com,CSE24132,8,CSE,1,A+,Tarak Bahri
Noah Venkatesh,8817112541,noah.venkatesh@gmail.com,CSE24133,2,CSE,1,B+,Ekansh Venkatesh
Kavya Pingle,7372564420,kavya.pingle@gmail.com,AI24134,6,AI,3,A,Nitesh Pingle
Sneha Madan,9449139045,sneha.madan@gmail.com,CSE24135,7,CSE,1,A+,Fitan Madan
Nathan Nigam,7240947761,nathan.nigam@gmail.com,ME24136,5,ME,4,C,Samesh Nigam
Warjas Chacko,7228743927,warjas.chacko@gmail.com,CSE24137,7,CSE,1,C,Samaksh Chacko
Pallavi Wadhwa,9418037709,pallavi.wadhwa@gmail.com,CE24138,3,CE,5,C,Kabir Wadhwa
Balveer Ghosh,9422756218,balveer.ghosh@gmail.com,IT24139,8,IT,2,A,Nathan Ghosh
Vivaan Om,8571931969,vivaan.om@gmail.com,AI24140,2,AI,3,C,Samaksh Om
Rayaan Sant,8394827585,rayaan.sant@gmail.com,IT24141,3,IT,2,C,Jonathan Sant
Anay Ramachandran,7847557374,anay.ramachandran@gmail.com,IT24142,3,IT,2,B+,David Ramachandran
Anvi Chhabra,8428191576,anvi.chhabra@gmail.com,AI24143,5,AI,3,A,Faras Chhabra
Yahvi Munshi,7076379395,yahvi.munshi@gmail.com,ME24144,4,ME,4,A+,Abhiram Munshi
Jagdish Srinivasan,9197526406,jagdish.srinivasan@gmail.com,CE24145,6,CE,5,C,Balendra Srinivasan
Zayan Dayal,8064226003,zayan.dayal@gmail.com,IT24146,2,IT,2,A,Girik Dayal
Devansh Suri,9407974348,devansh.suri@gmail.com,IT24147,5,IT,2,C,Sathvik Suri
Jeet Kant,7864344778,jeet.kant@gmail.com,AI24148,8,AI,3,B+,Siddharth Kant
Ronith Gaba,9766313165,ronith.gaba@gmail.com,CE24149,4,CE,5,A+,Jai Gaba
Tara Dhingra,8249754903,tara.dhingra@gmail.com,CSE24150,3,CSE,1,A,Darpan Dhingra
Abhiram Sarma,7762212688,abhiram.sarma@gmail.com,CE24151,5,CE,5,A,Qadim Sarma
Isaiah Gandhi,9775799463,isaiah.gandhi@gmail.com,IT24152,8,IT,2,A,Dhruv Gandhi
Falguni Nagi,7561853993,falguni.nagi@gmail.com,ME24153,4,ME,4,B+,Zehaan Nagi
Eesha Naik,9499914103,eesha.naik@gmail.com,CSE24154,2,CSE,1,B,Ryan Naik
Ati Comar,8087915066,ati.comar@gmail.com,CSE24155,2,CSE,1,B+,Zehaan Comar
Xiti Lal,8844755695,xiti.lal@gmail.com,CE24156,6,CE,5,C,Nicholas Lal
Gauri Ravel,7569088540,gauri.ravel@gmail.com,IT24157,3,IT,2,A,Siddharth Ravel
Kritika Ahluwalia,8652577305,kritika.ahluwalia@gmail.com,AI24158,3,AI,3,B+,Yug Ahluwalia
Shivansh More,7034672239,shivansh.more@gmail.com,CSE24159,6,CSE,1,A+,Sathvik More
Ikshita Joshi,8305024312,ikshita.joshi@gmail.com,IT24160,7,IT,2,B,Andrew Joshi
Anamika Bumb,7848988673,anamika.bumb@gmail.com,IT24161,6,IT,2,B+,Chatresh Bumb
Jason Bawa,9463231376,jason.bawa@gmail.com,IT24162,5,IT,2,B,Jagat Bawa
Chameli Bumb,9094305362,chameli.bumb@gmail.com,CSE24163,4,CSE,1,A+,Jagat Bumb
Wakeeta Ramaswamy,7983425502,wakeeta.ramaswamy@gmail.com,IT24164,5,IT,2,A+,Ekbal Ramaswamy
Gautam Rao,8748115468,gautam.rao@gmail.com,IT24165,5,IT,2,A+,Daniel Rao
Aradhana Dhingra,8580567158,aradhana.dhingra@gmail.com,ME24166,7,ME,4,B+,Samaksh Dhingra
Dev Narayanan,9648395796,dev.narayanan@gmail.com,AI24167,4,AI,3,C,Jagdish Narayanan
Vasana Saxena,7736390406,vasana.saxena@gmail.com,CE24168,2,CE,5,A+,Champak Saxena
Kalpit Gade,8790162402,kalpit.gade@gmail.com,CSE24169,6,CSE,1,A,Jeet Gade
Girik Saran,8819916099,girik.saran@gmail.com,CSE24170,4,CSE,1,B+,Thomas Saran
Aahana Murthy,9058454927,aahana.murthy@gmail.com,IT24171,7,IT,2,A+,Ansh Murthy
Odika Chaudry,9597494146,odika.chaudry@gmail.com,AI24172,3,AI,3,B,Harshil Chaudry
Advik Sama,7633257201,advik.sama@gmail.com,ME24173,5,ME,4,B,Aarush Sama
Hemang Sankaran,8013873513,hemang.sankaran@gmail.com,IT24174,6,IT,2,A+,Shaurya Sankaran
Lopa Sunder,7737315382,lopa.sunder@gmail.com,CE24175,6,CE,5,A+,William Sunder
Oscar Banik,7286412985,oscar.banik@gmail.com,IT24176,3,IT,2,A+,Avi Banik
Priya Jani,8250487434,priya.jani@gmail.com,ME24177,2,ME,4,C,Harshil Jani
Vritti Barad,8238179263,vritti.barad@gmail.com,ME24178,3,ME,4,B+,Aadi Barad
Chakradhar Natt,8620912769,chakradhar.natt@gmail.com,ME24179,7,ME,4,B,Ranveer Natt
Darika Chacko,7101365767,darika.chacko@gmail.com,IT24180,2,IT,2,B+,Arin Chacko
Shivansh Parsa,8402646686,shivansh.parsa@gmail.com,ME24181,5,ME,4,B+,Christopher Parsa
Nidhi Gandhi,8667176312,nidhi.gandhi@gmail.com,ME24182,2,ME,4,C,Elijah Gandhi
Benjamin Doshi,9262795057,benjamin.doshi@gmail.com,CE24183,5,CE,5,B+,Chatresh Doshi
Sanya Modi,9945540504,sanya.modi@gmail.com,CSE24184,7,CSE,1,A,Orinder Modi
Vedika Konda,9853940008,vedika.konda@gmail.com,IT24185,1,IT,2,C,Vincent Konda
Barkha Khosla,7649947273,barkha.khosla@gmail.com,ME24186,7,ME,4,C,Hitesh Khosla
Yutika Randhawa,8845325949,yutika.randhawa@gmail.com,AI24187,2,AI,3,B,Ekalinga Randhawa
Tarak Pandya,7112836449,tarak.pandya@gmail.com,ME24188,1,ME,4,C,Jatin Pandya
Naveen Khatri,9349788971,naveen.khatri@gmail.com,ME24189,1,ME,4,B,Frederick Khatri
Kai Shukla,8505578368,kai.shukla@gmail.com,AI24190,2,AI,3,B,Lohit Shukla
Mohammed Murthy,7063826308,mohammed.murthy@gmail.com,ME24191,7,ME,4,B+,Abeer Murthy
Vidhi Shankar,9082657139,vidhi.shankar@gmail.com,ME24192,5,ME,4,C,Wazir Shankar
Kashish Dhingra,7114591229,kashish.dhingra@gmail.com,CE24193,2,CE,5,B+,Sai Dhingra
Devika Sridhar,9194480837,devika.sridhar@gmail.com,AI24194,2,AI,3,B,Banjeet Sridhar
Tripti Panchal,8155761503,tripti.panchal@gmail.com,AI24195,8,AI,3,A+,Aditya Panchal
Arjun Agate,9101866113,arjun.agate@gmail.com,AI24196,5,AI,3,C,Anirudh Agate
Utkarsh Barman,9081534754,utkarsh.barman@gmail.com,CSE24197,2,CSE,1,C,Reyansh Barman
Riya Borde,8825487440,riya.borde@gmail.com,CE24198,6,CE,5,A+,Pranit Borde
Charan Dube,9990626008,charan.dube@gmail.com,ME24199,6,ME,4,B+,Warjas Dube
Upasna Wason,8522355099,upasna.wason@gmail.com,AI24200,1,AI,3,B,Orinder Wason
Qasim Wagle,9382189371,qasim.wagle@gmail.com,ME24201,4,ME,4,B,Upkaar Wagle
Tristan Mitra,7009659348,tristan.mitra@gmail.com,ME24202,8,ME,4,B+,Faras Mitra
Darpan Agate,9501556007,darpan.agate@gmail.com,CSE24203,1,CSE,1,A,Ayush Agate
Rajata Mahal,8759744047,rajata.mahal@gmail.com,AI24204,1,AI,3,A+,Daksh Mahal
Jeremiah Ranganathan,9006736377,jeremiah.ranganathan@gmail.com,CSE24205,6,CSE,1,A,Yash Ranganathan
Zayyan Rau,7539850903,zayyan.rau@gmail.com,CE24206,3,CE,5,A+,Rohan Rau
Yachana Kulkarni,8335555239,yachana.kulkarni@gmail.com,CSE24207,5,CSE,1,C,Jackson Kulkarni
Yochana Varghese,9034459692,yochana.varghese@gmail.com,IT24208,8,IT,2,C,William Varghese
Ekapad Devi,9929863444,ekapad.devi@gmail.com,CE24209,3,CE,5,B,Harsh Devi
Nihal Parikh,8570178333,nihal.parikh@gmail.com,AI24210,4,AI,3,C,Rehaan Parikh
Krishna Zacharia,8837664695,krishna.zacharia@gmail.com,IT24211,8,IT,2,C,Lakshit Zacharia
Faraj Koshy,7758690877,faraj.koshy@gmail.com,AI24212,2,AI,3,C,Anirudh Koshy
Sneha Munshi,9736483646,sneha.munshi@gmail.com,AI24213,6,AI,3,A+,Faraj Munshi
Lavanya Balay,7528352949,lavanya.balay@gmail.com,CSE24214,2,CSE,1,B,Jonathan Balay
Charvi Dutt,7617194270,charvi.dutt@gmail.com,ME24215,3,ME,4,C,Amol Dutt
Hritik Upadhyay,9170515738,hritik.upadhyay@gmail.com,AI24216,2,AI,3,B,Aarav Upadhyay
Utkarsh Kumer,7571778055,utkarsh.kumer@gmail.com,AI24217,3,AI,3,B+,Alexander Kumer
Janaki Padmanabhan,9722288418,janaki.padmanabhan@gmail.com,IT24218,4,IT,2,B,Joshua Padmanabhan
Amrita Grover,8763308837,amrita.grover@gmail.com,IT24219,5,IT,2,B+,Peter Grover
Wishi Dani,9287068785,wishi.dani@gmail.com,AI24220,2,AI,3,B+,Xavier Dani
Rushil Krish,9124229053,rushil.krish@gmail.com,IT24221,3,IT,2,B,Benjamin Krish
Jeremiah Rajagopalan,9389024720,jeremiah.rajagopalan@gmail.com,CE24222,1,CE,5,A,Sathvik Rajagopalan
Gunbir Padmanabhan,7033017856,gunbir.padmanabhan@gmail.com,IT24223,6,IT,2,B+,Ekbal Padmanabhan
Yug Bora,9457188650,yug.bora@gmail.com,AI24224,2,AI,3,A,Kalpit Bora
Damini Palla,9972094594,damini.palla@gmail.com,CE24225,5,CE,5,A,Victor Palla
Sara Lalla,7595713843,sara.lalla@gmail.com,IT24226,3,IT,2,A,Ekbal Lalla
Yadavi Joshi,8934478974,yadavi.joshi@gmail.com,CSE24227,7,CSE,1,B,Pranit Joshi
Manya Chopra,7900804428,manya.chopra@gmail.com,ME24228,5,ME,4,B+,Balhaar Chopra
Champak Deshmukh,9342953878,champak.deshmukh@gmail.com,IT24229,8,IT,2,A+,Champak Deshmukh
Oscar Rastogi,7256294781,oscar.rastogi@gmail.com,CSE24230,5,CSE,1,C,Lucky Rastogi
Girik Panchal,9561668918,girik.panchal@gmail.com,AI24231,4,AI,3,C,Faraj Panchal
Irya Rege,8087791229,irya.rege@gmail.com,IT24232,3,IT,2,A+,Jagat Rege
Manthan Loyal,7926994065,manthan.loyal@gmail.com,CSE24233,7,CSE,1,A+,Hitesh Loyal
Kamya Oommen,9139698443,kamya.oommen@gmail.com,IT24234,1,IT,2,B,Arin Oommen
Yamini Master,8549343281,yamini.master@gmail.com,ME24235,8,ME,4,A,Robert Master
Damini Kata,8577286324,damini.kata@gmail.com,AI24236,4,AI,3,A,Aarush Kata
Parth Ram,8048497745,parth.ram@gmail.com,AI24237,4,AI,3,A,Harish Ram
Jagrati Vohra,9520131630,jagrati.vohra@gmail.com,CE24238,8,CE,5,B+,Nicholas Vohra
Oeshi Vyas,9392209375,oeshi.vyas@gmail.com,CE24239,7,CE,5,A+,Mohammed Vyas
Yashica Rajagopalan,8361555895,yashica.rajagopalan@gmail.com,IT24240,2,IT,2,B,Gaurav Rajagopalan
Veer Bains,7291044240,veer.bains@gmail.com,IT24241,8,IT,2,A+,Veer Bains
Anirudh Khanna,8849648198,anirudh.khanna@gmail.com,ME24242,5,ME,4,A+,Naveen Khanna
Neelima Balan,8718616339,neelima.balan@gmail.com,CE24243,2,CE,5,A,Vivaan Balan
Wahab Korpal,9434046647,wahab.korpal@gmail.com,CE24244,8,CE,5,C,Hredhaan Korpal
Aradhana Chaudhry,7654230804,aradhana.chaudhry@gmail.com,IT24245,7,IT,2,B,Balvan Chaudhry
Ati Kalla,9764023759,ati.kalla@gmail.com,ME24246,7,ME,4,B+,Jeremiah Kalla
Edhitha Toor,7409517342,edhitha.toor@gmail.com,ME24247,7,ME,4,A+,Chaitanya Toor
David Choudhary,8965178565,david.choudhary@gmail.com,ME24248,8,ME,4,B+,Onveer Choudhary
Harsh Nanda,7589730503,harsh.nanda@gmail.com,IT24249,7,IT,2,A,Kai Nanda
Kamya Kaur,8367806970,kamya.kaur@gmail.com,CSE24250,1,CSE,1,B,Ayush Kaur
Idika Gara,8157687996,idika.gara@gmail.com,ME24251,1,ME,4,B,Benjamin Gara
Jatin Savant,9114364040,jatin.savant@gmail.com,CSE24252,8,CSE,1,B,Laban Savant
Keya Madan,9263136305,keya.madan@gmail.com,CE24253,6,CE,5,B,Bachittar Madan
Ekantika Deo,9358418588,ekantika.deo@gmail.com,IT24254,1,IT,2,A+,Siddharth Deo
Ekansh Bose,9178823908,ekansh.bose@gmail.com,AI24255,2,AI,3,A,Nachiket Bose
Panini Magar,9965672794,panini.magar@gmail.com,CSE24256,5,CSE,1,C,Dakshesh Magar
Raghav Kunda,9284577240,raghav.kunda@gmail.com,ME24257,3,ME,4,A,Champak Kunda
Darpan Chakrabarti,7949843085,darpan.chakrabarti@gmail.com,CSE24258,2,CSE,1,C,Manbir Chakrabarti
Hiral Loyal,8732253950,hiral.loyal@gmail.com,AI24259,6,AI,3,B+,Omkaar Loyal
Bina Tiwari,7223810184,bina.tiwari@gmail.com,AI24260,5,AI,3,B,Ekalinga Tiwari
Gautami Kaul,9986716779,gautami.kaul@gmail.com,ME24261,6,ME,4,C,Jeremiah Kaul
Ojas Shere,9883644594,ojas.shere@gmail.com,ME24262,8,ME,4,B,Girindra Shere
Benjamin Golla,9586328912,benjamin.golla@gmail.com,CE24263,6,CE,5,A+,Jason Golla
Gunbir Randhawa,7791332872,gunbir.randhawa@gmail.com,AI24264,5,AI,3,C,Thomas Randhawa
Tripti Devan,8015756200,tripti.devan@gmail.com,CSE24265,1,CSE,1,A,Hardik Devan
Jagat Nazareth,9329924815,jagat.nazareth@gmail.com,CSE24266,2,CSE,1,A,Ansh Nazareth
