student_name,student_contact,student_email,roll_no,semester,department_id,grade,father_name
Jackson Purohit,8974378120,jackson.purohit@gmail.com,AI24057,8,3,B,Amol Purohit
Raksha Rajagopal,8265179947,raksha.rajagopal@gmail.com,ME24058,1,4,A+,Om Rajagopal
Xavier Ahluwalia,9279211973,xavier.ahluwalia@gmail.com,IT24059,5,2,A+,Theodore Ahluwalia
Azad Butala,9230969600,azad.butala@gmail.com,IT24060,7,2,B,Kiaan Butala
Robert Loke,8858781193,robert.loke@gmail.com,CE24061,4,5,C,Banjeet Loke
Fariq Badal,8801089213,fariq.badal@gmail.com,CSE24062,5,1,C,Girish Badal
Raagini Bhargava,9038503357,raagini.bhargava@gmail.com,CSE24063,3,1,C,Jonathan Bhargava
Zashil Bumb,7926509972,zashil.bumb@gmail.com,CE24064,1,5,B,Nihal Bumb
Hritik Ray,8898286453,hritik.ray@gmail.com,ME24065,2,4,C,Bakhshi Ray
Fitan Bakshi,9021167895,fitan.bakshi@gmail.com,CE24066,4,5,B+,Rachit Bakshi
Abdul Sarraf,9846267122,abdul.sarraf@gmail.com,CE24067,3,5,C,Ekbal Sarraf
Yochana Amble,9213873574,yochana.amble@gmail.com,AI24068,1,3,A,Gautam Amble
Yashica Bhatti,8747424098,yashica.bhatti@gmail.com,ME24069,5,4,A,Daniel Bhatti
Daniel Rau,9151805299,daniel.rau@gmail.com,CSE24070,2,1,C,Warinder Rau
Irya Ray,7492756637,irya.ray@gmail.com,ME24071,1,4,A,Farhan Ray
Radhika Yohannan,8170550379,radhika.yohannan@gmail.com,IT24072,2,2,B+,Tanveer Yohannan
Zashil Batra,7789093546,zashil.batra@gmail.com,IT24073,2,2,B,Ethan Batra
Triya Chandra,9344756210,triya.chandra@gmail.com,CE24074,6,5,B,Patrick Chandra
Banjeet Jain,7870837059,banjeet.jain@gmail.com,AI24075,4,3,C,William Jain
Wriddhish Bhatt,7541170654,wriddhish.bhatt@gmail.com,CE24076,5,5,A+,Kalpit Bhatt
Alexander Naik,8045149723,alexander.naik@gmail.com,AI24077,5,3,A+,Umang Naik
Reyansh Cherian,8276007556,reyansh.cherian@gmail.com,IT24078,4,2,C,Lucky Cherian
Zinal Chopra,7332523478,zinal.chopra@gmail.com,AI24079,3,3,A+,Logan Chopra
Gautami Mani,9703737268,gautami.mani@gmail.com,CE24080,3,5,B,Balvan Mani
Netra Nagi,8959330409,netra.nagi@gmail.com,AI24081,2,3,B+,Siddharth Nagi
Onkar Dhar,8617548131,onkar.dhar@gmail.com,ME24082,1,4,C,Umang Dhar
Ekansh Din,7288260829,ekansh.din@gmail.com,CSE24083,6,1,B+,Manbir Din
Reva Raghavan,8170436226,reva.raghavan@gmail.com,CSE24084,8,1,B,Isaac Raghavan
Faraj Luthra,7647593312,faraj.luthra@gmail.com,CE24085,5,5,C,Elijah Luthra
Sanya Patil,7518416847,sanya.patil@gmail.com,CE24086,3,5,B,Ryan Patil
Bahadurjit Luthra,9187845147,bahadurjit.luthra@gmail.com,CE24087,5,5,A,Ethan Luthra
Chameli Bassi,7107502130,chameli.bassi@gmail.com,IT24088,3,2,A+,Banjeet Bassi
Harrison Din,8269571474,harrison.din@gmail.com,CE24089,8,5,A+,Darpan Din
Yamini Puri,7268555746,yamini.puri@gmail.com,IT24090,4,2,B+,Timothy Puri
Lakshit Chacko,9786125846,lakshit.chacko@gmail.com,CSE24091,3,1,A,Falan Chacko
Triya Mann,7403828703,triya.mann@gmail.com,IT24092,7,2,A,Michael Mann
Keya Venkataraman,8401494854,keya.venkataraman@gmail.com,ME24093,3,4,B+,Aadi Venkataraman
Yashodhara Kade,8981192328,yashodhara.kade@gmail.com,CSE24094,2,1,C,Falan Kade
Fariq Kanda,9866853178,fariq.kanda@gmail.com,IT24095,2,2,B+,Jackson Kanda
Jackson Kar,7216845747,jackson.kar@gmail.com,AI24096,6,3,A,Balendra Kar
Eesha Keer,9889965475,eesha.keer@gmail.com,IT24097,3,2,A+,Hitesh Keer
Shaurya Peri,7164009397,shaurya.peri@gmail.com,CE24098,8,5,A,Aditya Peri
Falguni Vig,9362186679,falguni.vig@gmail.com,CSE24099,5,1,B+,Hardik Vig
Yasti Kadakia,7662293287,yasti.kadakia@gmail.com,IT24100,4,2,B+,Samarth Kadakia
Darsh Rattan,8390608793,darsh.rattan@gmail.com,CE24101,6,5,C,Omkaar Rattan
Priya Natt,9721770749,priya.natt@gmail.com,CSE24102,5,1,B,Aarush Natt
Qabil Pillai,8113903499,qabil.pillai@gmail.com,CSE24103,4,1,B+,Thomas Pillai
Vrinda Parmer,9524478285,vrinda.parmer@gmail.com,CSE24104,7,1,A+,Raghav Parmer
Vidhi Taneja,8157837494,vidhi.taneja@gmail.com,AI24105,4,3,B,Ayush Taneja
Vyanjana Cherian,7637463045,vyanjana.cherian@gmail.com,IT24106,4,2,C,David Cherian
Kabir Edwin,8083040915,kabir.edwin@gmail.com,AI24107,5,3,A+,Christopher Edwin
Krishna Bhasin,8232437053,krishna.bhasin@gmail.com,IT24108,2,2,B+,Andrew Bhasin
Nitara Chaudhuri,8696195285,nitara.chaudhuri@gmail.com,IT24109,7,2,B,Mohammed Chaudhuri
Aditya Devan,7709873406,aditya.devan@gmail.com,ME24110,4,4,B,Dakshesh Devan
Aarini Bhargava,9442629853,aarini.bhargava@gmail.com,IT24111,7,2,B,Wriddhish Bhargava
Vasatika Kara,8460652427,vasatika.kara@gmail.com,IT24112,3,2,C,Rachit Kara
Nimrat Kuruvilla,9683861436,nimrat.kuruvilla@gmail.com,ME24113,3,4,B+,Lohit Kuruvilla
Chavvi Bansal,9090377717,chavvi.bansal@gmail.com,CE24114,1,5,C,Ekalinga Bansal
Lakshmi Modi,7880664910,lakshmi.modi@gmail.com,ME24115,3,4,B+,Anthony Modi
Vamakshi Bajaj,7849047867,vamakshi.bajaj@gmail.com,CE24116,2,5,B+,Darsh Bajaj
Omaja Varghese,9096566158,omaja.varghese@gmail.com,IT24117,3,2,A+,Timothy Varghese
George Dara,7771982081,george.dara@gmail.com,ME24118,8,4,B+,Tanay Dara
Reva Basak,7179149167,reva.basak@gmail.com,AI24119,2,3,B,Aayush Basak
Chakradhar Badami,7612385897,chakradhar.badami@gmail.com,ME24120,4,4,B,Ayaan Badami
Samaksh Mukhopadhyay,8327718391,samaksh.mukhopadhyay@gmail.com,ME24121,1,4,B,Bachittar Mukhopadhyay
Mugdha Subramaniam,7986084360,mugdha.subramaniam@gmail.com,CSE24122,7,1,A,Nitesh Subramaniam
Warhi Chaudhary,7073605600,warhi.chaudhary@gmail.com,IT24123,4,2,B,Qabil Chaudhary
Arin Prasad,9157297735,arin.prasad@gmail.com,CSE24124,3,1,B,Ansh Prasad
Vihaan Anne,9555727560,vihaan.anne@gmail.com,IT24125,2,2,C,Abhimanyu Anne
Arya Bhat,7773221937,arya.bhat@gmail.com,IT24126,4,2,B+,Tristan Bhat
Dalaja Sarkar,7256799811,dalaja.sarkar@gmail.com,ME24127,4,4,B,Teerth Sarkar
Urvi Rajagopalan,8730637525,urvi.rajagopalan@gmail.com,CSE24128,8,1,A,Frado Rajagopalan
Ucchal Kaur,8572630721,ucchal.kaur@gmail.com,CSE24129,7,1,A,Aarav Kaur
Nidra Gupta,8487682447,nidra.gupta@gmail.com,AI24130,6,3,A,Lakshit Gupta
Janani Malhotra,9716187286,janani.malhotra@gmail.com,CE24131,7,5,B+,Saksham Malhotra
Deepa Patla,9844468020,deepa.patla@gmail.com,ME24132,8,4,B+,Charan Patla
Tejas Kala,8132917299,tejas.kala@gmail.com,AI24133,1,3,B+,Madhav Kala
Isaac Char,8356933225,isaac.char@gmail.com,AI24134,2,3,A+,Jatin Char
Vritti Setty,7423771666,vritti.setty@gmail.com,CE24135,8,5,A,Chatresh Setty
Banjeet Raju,9814447175,banjeet.raju@gmail.com,CSE24136,6,1,A,Chanakya Raju
Samesh Dave,8047944102,samesh.dave@gmail.com,CE24137,7,5,A+,Madhav Dave
Krishna Taneja,7892978126,krishna.taneja@gmail.com,CSE24138,6,1,B+,Zayyan Taneja
Inaya Dua,8006192563,inaya.dua@gmail.com,CSE24139,1,1,B+,Farhan Dua
Girik Bajaj,7336737013,girik.bajaj@gmail.com,CSE24140,6,1,B,Sai Bajaj
Bhavini Divan,7949734250,bhavini.divan@gmail.com,ME24141,2,4,B+,Neel Divan
Jeevika Rai,7752392232,jeevika.rai@gmail.com,CE24142,1,5,A+,Dakshesh Rai
Harish Saha,9117929246,harish.saha@gmail.com,IT24143,6,2,C,Owen Saha
Charvi Saini,8138471709,charvi.saini@gmail.com,CSE24144,3,1,C,Faras Saini
Radhika Jayaraman,8663210212,radhika.jayaraman@gmail.com,ME24145,4,4,A+,Rohan Jayaraman
Baljiwan Sha,8447440189,baljiwan.sha@gmail.com,CSE24146,1,1,B+,Qadim Sha
Chakrika Gour,8688335829,chakrika.gour@gmail.com,CE24147,4,5,B,Samesh Gour
Nitesh Choudhury,9408493735,nitesh.choudhury@gmail.com,CSE24148,1,1,C,Tanish Choudhury
Vyanjana Sen,8218832830,vyanjana.sen@gmail.com,IT24149,3,2,C,Nachiket Sen
Advaith Oza,9399242834,advaith.oza@gmail.com,IT24150,6,2,A+,Chakradev Oza
Saanvi Bandi,7632002103,saanvi.bandi@gmail.com,CSE24151,4,1,B+,Kalpit Bandi
Girindra Pandit,8070415253,girindra.pandit@gmail.com,IT24152,5,2,A,Rachit Pandit
Madhavi Kibe,8998869321,madhavi.kibe@gmail.com,CSE24153,5,1,B,Logan Kibe
Keya Sibal,7194084768,keya.sibal@gmail.com,ME24154,8,4,C,Balvan Sibal
Ishanvi Zacharia,8904307701,ishanvi.zacharia@gmail.com,CSE24155,3,1,B,Hritik Zacharia
Noah Arora,9834649025,noah.arora@gmail.com,CE24156,4,5,A,Nachiket Arora
Jeevika Garg,9944480072,jeevika.garg@gmail.com,AI24157,6,3,A,Pratyush Garg
Lopa Bir,7185715011,lopa.bir@gmail.com,AI24158,7,3,A,Ranveer Bir
Rohan Agrawal,7419206815,rohan.agrawal@gmail.com,IT24159,1,2,A,Pranit Agrawal
Udyati Krishnan,8347702014,udyati.krishnan@gmail.com,IT24160,8,2,A,Ekapad Krishnan
Kalpit Sha,9090669348,kalpit.sha@gmail.com,IT24161,4,2,A,Ikbal Sha
Lakshit Bandi,9264821356,lakshit.bandi@gmail.com,ME24162,4,4,A+,Gopal Bandi
Baghyawati Balan,7383794607,baghyawati.balan@gmail.com,IT24163,2,2,B,Robert Balan
Chaitanya D’Alia,8360425807,chaitanya.d’alia@gmail.com,AI24164,8,3,A,Gaurang D’Alia
Abdul Contractor,8196471855,abdul.contractor@gmail.com,AI24165,2,3,B,Daniel Contractor
Aahana Kothari,9682191637,aahana.kothari@gmail.com,CSE24166,5,1,A+,Yatin Kothari
Praneel Kamdar,9587122207,praneel.kamdar@gmail.com,ME24167,2,4,A+,Thomas Kamdar
Chakradhar Khatri,7865046094,chakradhar.khatri@gmail.com,CE24168,4,5,B+,Yug Khatri
Yoshita Jain,9473028795,yoshita.jain@gmail.com,CE24169,5,5,A+,Anirudh Jain
Om Sachdeva,7248806354,om.sachdeva@gmail.com,IT24170,1,2,A+,Amol Sachdeva
Nakul Contractor,8581778233,nakul.contractor@gmail.com,ME24171,4,4,A+,Girindra Contractor
Yochana Narasimhan,7392851615,yochana.narasimhan@gmail.com,IT24172,1,2,B,Chatresh Narasimhan
Januja Sahni,8989866669,januja.sahni@gmail.com,IT24173,1,2,B,Jacob Sahni
Shravya Oza,8013583978,shravya.oza@gmail.com,CSE24174,4,1,B+,Devansh Oza
Isaac Varkey,7282063418,isaac.varkey@gmail.com,CE24175,3,5,A,Samuel Varkey
Eiravati Gara,9685473990,eiravati.gara@gmail.com,IT24176,2,2,A+,Samar Gara
Rajeshri Deo,9450285609,rajeshri.deo@gmail.com,CSE24177,2,1,B+,Rachit Deo
Barkha Cheema,8642816254,barkha.cheema@gmail.com,IT24178,5,2,A,Karan Cheema
Yachana Gaba,9979394854,yachana.gaba@gmail.com,CE24179,5,5,A+,Charles Gaba
Omkaar Narain,7067073567,omkaar.narain@gmail.com,IT24180,2,2,B+,Samaksh Narain
Ria Ghosh,9006131468,ria.ghosh@gmail.com,CE24181,4,5,B+,Madhav Ghosh
Darika Nazareth,9297395253,darika.nazareth@gmail.com,IT24182,6,2,C,Wridesh Nazareth
Ekantika Guha,9597164075,ekantika.guha@gmail.com,CE24183,4,5,B+,Bakhshi Guha
Ekaraj Mane,8852387112,ekaraj.mane@gmail.com,IT24184,6,2,B+,Wazir Mane
Ekapad Ravel,8505772351,ekapad.ravel@gmail.com,CE24185,2,5,B,Girindra Ravel
Quincy Bhatti,7632244989,quincy.bhatti@gmail.com,IT24186,1,2,B+,Ekaraj Bhatti
Aryan Mohan,7990040987,aryan.mohan@gmail.com,ME24187,1,4,C,Aditya Mohan
Dipta Chakraborty,9833887080,dipta.chakraborty@gmail.com,CE24188,2,5,A,Abhiram Chakraborty
Krishna Lal,8405736536,krishna.lal@gmail.com,CSE24189,3,1,B+,Andrew Lal
Ekaja Amble,7691373708,ekaja.amble@gmail.com,AI24190,5,3,A+,Ekansh Amble
Bhavika Peri,7290274972,bhavika.peri@gmail.com,CE24191,8,5,B,Nakul Peri
Mohammed Mitra,9066593592,mohammed.mitra@gmail.com,CE24192,7,5,C,Darsh Mitra
Lohit Gaba,7145571225,lohit.gaba@gmail.com,AI24193,8,3,B,Rudra Gaba
Priya Ravel,7493189639,priya.ravel@gmail.com,ME24194,5,4,C,Chanakya Ravel
Yahvi Kapadia,8258700718,yahvi.kapadia@gmail.com,ME24195,4,4,A+,Chatura Kapadia
Laban Rajagopalan,8499786303,laban.rajagopalan@gmail.com,IT24196,4,2,A,Bakhshi Rajagopalan
Siddharth Karnik,8019165356,siddharth.karnik@gmail.com,CSE24197,2,1,A,Baljiwan Karnik
Bhavika Bhargava,8358927468,bhavika.bhargava@gmail.com,CSE24198,3,1,B+,Jagdish Bhargava
Hitesh Mohanty,7741212245,hitesh.mohanty@gmail.com,ME24199,3,4,A,Robert Mohanty
Advay Guha,7505609794,advay.guha@gmail.com,AI24200,8,3,A,Finn Guha
Nisha Radhakrishnan,7860793834,nisha.radhakrishnan@gmail.com,IT24201,5,2,A+,Vincent Radhakrishnan
Meera Khare,8384821881,meera.khare@gmail.com,AI24202,1,3,A,Bahadurjit Khare
Aadhya Padmanabhan,9143434183,aadhya.padmanabhan@gmail.com,CE24203,2,5,A+,Azad Padmanabhan
Ubika Khurana,9100970837,ubika.khurana@gmail.com,IT24204,7,2,B,Girik Khurana
Sneha Bhatnagar,9812131355,sneha.bhatnagar@gmail.com,ME24205,3,4,C,Naksh Bhatnagar
Garima De,8305537073,garima.de@gmail.com,IT24206,4,2,B+,Luke De
Chaman Jani,7334877961,chaman.jani@gmail.com,CE24207,1,5,B+,Kabir Jani
Urvi Issac,9483968247,urvi.issac@gmail.com,AI24208,3,3,A,Guneet Issac
Xalak Yadav,8970992304,xalak.yadav@gmail.com,CE24209,7,5,C,Guneet Yadav
Jack Batra,8309088610,jack.batra@gmail.com,CE24210,1,5,B+,Parth Batra
Vansha Mall,7231705691,vansha.mall@gmail.com,CE24211,1,5,C,Jai Mall
Charles Bhandari,9935115138,charles.bhandari@gmail.com,AI24212,5,3,A,Aarav Bhandari
Nathaniel Soni,7668791872,nathaniel.soni@gmail.com,CSE24213,5,1,A+,Girish Soni
Advika Joshi,8923614685,advika.joshi@gmail.com,CSE24214,6,1,A,Umang Joshi
Panini Johal,9632266439,panini.johal@gmail.com,IT24215,2,2,C,Tanveer Johal
Zashil Nair,8879533102,zashil.nair@gmail.com,AI24216,6,3,A+,Vedant Nair
Bakhshi Gopal,8270187601,bakhshi.gopal@gmail.com,ME24217,1,4,A+,Aadi Gopal
Urvashi Mani,7085026753,urvashi.mani@gmail.com,CE24218,5,5,C,Samarth Mani
Adweta Cherian,9720017737,adweta.cherian@gmail.com,AI24219,2,3,A,Gaurang Cherian
Bhavika Agarwal,9483079468,bhavika.agarwal@gmail.com,AI24220,4,3,B,Devansh Agarwal
Unni Mani,7473856715,unni.mani@gmail.com,AI24221,7,3,B+,Ikbal Mani
Henry Parikh,8726792892,henry.parikh@gmail.com,IT24222,8,2,A+,Samaksh Parikh
Eshana Cherian,7713603406,eshana.cherian@gmail.com,ME24223,5,4,A+,Thomas Cherian
Jagat Menon,9691200809,jagat.menon@gmail.com,IT24224,3,2,B,Nihal Menon
Frederick Varughese,9657413895,frederick.varughese@gmail.com,CE24225,3,5,A+,Naveen Varughese
Lakshit Sawhney,9326872508,lakshit.sawhney@gmail.com,ME24226,3,4,C,David Sawhney
Faras Bera,7537631180,faras.bera@gmail.com,CSE24227,5,1,B,Rishi Bera
Jason Andra,9312657193,jason.andra@gmail.com,AI24228,8,3,C,Reyansh Andra
Siya Hans,7347935706,siya.hans@gmail.com,IT24229,4,2,B+,Bakhshi Hans
Agastya Prashad,8529131500,agastya.prashad@gmail.com,IT24230,4,2,A,Upkaar Prashad
Elijah Ghosh,9209040271,elijah.ghosh@gmail.com,IT24231,2,2,A,Chakradhar Ghosh
Noah Badal,9853864169,noah.badal@gmail.com,CE24232,7,5,C,Samarth Badal
Mason Agate,8414920804,mason.agate@gmail.com,IT24233,8,2,A,Tristan Agate
Qushi Nigam,7359634734,qushi.nigam@gmail.com,IT24234,5,2,B+,Laban Nigam
Chandresh Dube,7958295395,chandresh.dube@gmail.com,IT24235,7,2,B,Yash Dube
Jonathan Mallick,7474078150,jonathan.mallick@gmail.com,CSE24236,7,1,B+,Indrajit Mallick
Nandini Borra,8292423612,nandini.borra@gmail.com,CSE24237,2,1,A+,Gautam Borra
Urmi Thaman,9993788578,urmi.thaman@gmail.com,IT24238,1,2,A,Samaksh Thaman
Amruta Samra,8304741029,amruta.samra@gmail.com,AI24239,2,3,C,Samar Samra
Maanas Suresh,9710903934,maanas.suresh@gmail.com,CSE24240,2,1,A,Samuel Suresh
Lakshit Gopal,8316163842,lakshit.gopal@gmail.com,IT24241,5,2,A,Aarav Gopal
Sudiksha Sandhu,7536027422,sudiksha.sandhu@gmail.com,AI24242,5,3,A,Udant Sandhu
Vedhika Chad,9069216269,vedhika.chad@gmail.com,IT24243,1,2,B+,Veer Chad
Omya Tandon,9245271179,omya.tandon@gmail.com,ME24244,8,4,B+,Logan Tandon
Aarush Gopal,8059688609,aarush.gopal@gmail.com,CSE24245,4,1,A,Tanay Gopal
Yahvi Rana,7038729601,yahvi.rana@gmail.com,AI24246,2,3,A+,Maanav Rana
Hardik Madan,8326470971,hardik.madan@gmail.com,IT24247,2,2,A+,Patrick Madan
Pranit Badami,9632997388,pranit.badami@gmail.com,CE24248,8,5,B,Sathvik Badami
Rajata Bhavsar,9960943487,rajata.bhavsar@gmail.com,AI24249,7,3,A+,Abhimanyu Bhavsar
William Kannan,8181626212,william.kannan@gmail.com,CSE24250,5,1,B,Zayan Kannan
Ekta Bath,7962334430,ekta.bath@gmail.com,ME24251,7,4,A,Simon Bath
Chatura Hayre,9091976274,chatura.hayre@gmail.com,CE24252,4,5,A+,Daksh Hayre
Ansh Malhotra,9586777396,ansh.malhotra@gmail.com,CSE24253,8,1,C,Hredhaan Malhotra
Yashoda Issac,8670449190,yashoda.issac@gmail.com,CSE24254,4,1,A,Chatresh Issac
Harshil Seshadri,9076559867,harshil.seshadri@gmail.com,AI24255,5,3,A,Lohit Seshadri
Darika Oommen,7235722203,darika.oommen@gmail.com,CE24256,2,5,A+,Tarak Oommen
Harinakshi Bora,9464980212,harinakshi.bora@gmail.com,IT24257,5,2,B,Chaitanya Bora
Agastya Sahota,8533731996,agastya.sahota@gmail.com,CSE24258,6,1,A,Upkaar Sahota
Chaitaly Sane,7875597027,chaitaly.sane@gmail.com,CSE24259,6,1,C,Arin Sane
Abhiram Hayer,7768955436,abhiram.hayer@gmail.com,CE24260,4,5,B+,Jagdish Hayer
Unni Bains,7251145846,unni.bains@gmail.com,IT24261,4,2,C,Gavin Bains
Vasudha Dutt,9541852564,vasudha.dutt@gmail.com,IT24262,6,2,B+,Andrew Dutt
Raghav Saraf,8464885835,raghav.saraf@gmail.com,CE24263,5,5,B+,Harsh Saraf
Nidhi Murthy,9045671148,nidhi.murthy@gmail.com,CE24264,1,5,B+,Faqid Murthy
Gautami Goswami,8405326524,gautami.goswami@gmail.com,ME24265,2,4,A,William Goswami
Mitali Bahri,7710587314,mitali.bahri@gmail.com,CE24266,7,5,A,Dalbir Bahri
Hema Sehgal,8916857096,hema.sehgal@gmail.com,IT24267,6,2,A+,Bachittar Sehgal
Girik Chatterjee,7505093847,girik.chatterjee@gmail.com,AI24268,2,3,A+,Yash Chatterjee
Samesh Kant,9274122220,samesh.kant@gmail.com,IT24269,3,2,B,Chandresh Kant
Charan Chauhan,7209872028,charan.chauhan@gmail.com,AI24270,7,3,B,Ansh Chauhan
Tanveer Ray,8650295415,tanveer.ray@gmail.com,ME24271,8,4,B+,William Ray
Maanas Devi,8876747549,maanas.devi@gmail.com,IT24272,3,2,B,Patrick Devi
Hritik Morar,8181950191,hritik.morar@gmail.com,ME24273,1,4,B,Max Morar
Vasudha Sarma,7681840447,vasudha.sarma@gmail.com,AI24274,4,3,B+,Hemang Sarma
Arya Nair,8187820513,arya.nair@gmail.com,CE24275,4,5,A,Michael Nair
Radhika Kannan,9996244740,radhika.kannan@gmail.com,IT24276,6,2,B+,Jeremiah Kannan
Unnati Zachariah,8429820011,unnati.zachariah@gmail.com,ME24277,8,4,B+,Vihaan Zachariah
Onkar Kala,8957808613,onkar.kala@gmail.com,ME24278,3,4,A,Daniel Kala
Shivansh Sem,9814859282,shivansh.sem@gmail.com,IT24279,6,2,C,Sarthak Sem
Chandani Verma,7706696406,chandani.verma@gmail.com,ME24280,1,4,C,Falan Verma
Guneet Chauhan,7635392337,guneet.chauhan@gmail.com,ME24281,8,4,A,Vivaan Chauhan
Faraj Sekhon,7972982123,faraj.sekhon@gmail.com,ME24282,1,4,A+,Gaurav Sekhon
Jatin Natarajan,8255586816,jatin.natarajan@gmail.com,CE24283,8,5,C,Yagnesh Natarajan
Dipta Balay,8272034823,dipta.balay@gmail.com,IT24284,7,2,B+,Owen Balay
