roll_no,student_name,department,semester,avg_attendance,avg_marks,total_subjects,total_fee,amount_paid,pending_amount,payment_status,company,package_lpa,placement_status
ME24068,Anay Zachariah,ME,4,69.2,43.6,5,75000,0,75000,Pending,N/A,0.0,Not Placed
CSE24069,Vivaan Thakur,CSE,2,72.6,25.0,5,75000,75000,0,Paid,N/A,0.0,Not Placed
CSE24070,Dhruv Guha,CSE,2,74.0,58.2,5,75000,0,75000,Pending,N/A,0.0,Not Placed
CSE24071,Jacob Chaudry,CSE,5,71.2,77.4,5,75000,75000,0,Paid,N/A,0.0,Not Placed
ME24072,Ojas Ramachandran,ME,8,65.2,45.4,5,75000,29405,45595,Partial,Capgemini,11.09,Placed
CSE24073,Yashodhara Krish,CSE,5,77.4,90.6,5,75000,0,75000,Pending,N/A,0.0,Not Placed
CSE24074,Priya Mahal,CSE,3,56.4,42.6,5,75000,0,75000,Pending,N/A,0.0,Not Placed
AI24075,Unnati Mohanty,AI,2,63.6,56.2,5,75000,54071,20929,Partial,N/A,0.0,Not Placed
AI24076,Nicholas Walla,AI,1,73.4,93.2,5,75000,0,75000,Pending,N/A,0.0,Not Placed
AI24077,Mugdha Subramaniam,AI,4,80.0,38.8,5,75000,0,75000,Pending,N/A,0.0,Not Placed
IT24078,Hiral Ahluwalia,IT,6,72.0,16.0,5,75000,56731,18269,Partial,N/A,0.0,Not Placed
CSE24079,Rohan Kulkarni,CSE,8,77.8,78.4,5,75000,36957,38043,Partial,Amazon,11.4,Placed
CSE24080,Avi Choudhry,CSE,3,62.6,58.2,5,75000,0,75000,Pending,N/A,0.0,Not Placed
AI24081,Umang Sandhu,AI,3,68.0,74.0,5,75000,0,75000,Pending,N/A,0.0,Not Placed
CSE24082,Irya Kala,CSE,4,60.8,20.8,5,75000,61184,13816,Partial,N/A,0.0,Not Placed
CE24083,Qasim Murty,CE,6,54.0,75.4,5,75000,37202,37798,Partial,N/A,0.0,Not Placed
CSE24084,Inaya Bandi,CSE,7,69.8,62.6,5,75000,51788,23212,Partial,N/A,0.0,Not Placed
IT24085,Isaiah Narayan,IT,8,66.4,41.8,5,75000,0,75000,Pending,Amazon,13.38,Placed
IT24086,Aayush Mittal,IT,8,76.8,39.4,5,75000,0,75000,Pending,Infosys,6.29,Placed
ME24087,Tanveer Gandhi,ME,3,52.6,76.6,5,75000,64647,10353,Partial,N/A,0.0,Not Placed
CSE24088,Pratyush Chaudhary,CSE,1,60.4,93.4,5,75000,75000,0,Paid,N/A,0.0,Not Placed
CE24089,Anirudh Ratti,CE,6,67.6,73.2,5,75000,27506,47494,Partial,N/A,0.0,Not Placed
CE24090,Ira Bains,CE,7,63.8,40.0,5,75000,31721,43279,Partial,N/A,0.0,Not Placed
AI24091,Libni Contractor,AI,3,57.4,93.8,5,75000,75000,0,Paid,N/A,0.0,Not Placed
IT24092,Kiaan Dash,IT,1,83.2,44.2,5,75000,0,75000,Pending,N/A,0.0,Not Placed
CSE24093,Banjeet Balasubramanian,CSE,7,77.0,93.2,5,75000,75000,0,Paid,N/A,0.0,Not Placed
CSE24094,Vanya Das,CSE,4,62.0,23.6,5,75000,0,75000,Pending,N/A,0.0,Not Placed
CE24095,Logan Patil,CE,6,60.6,41.8,5,75000,0,75000,Pending,N/A,0.0,Not Placed
CE24096,Aarna Wason,CE,2,60.0,95.2,5,75000,0,75000,Pending,N/A,0.0,Not Placed
ME24097,Ekapad Char,ME,8,67.6,77.0,5,75000,75000,0,Paid,Amazon,9.83,Placed
CE24098,Keya Bhat,CE,1,66.4,41.4,5,75000,0,75000,Pending,N/A,0.0,Not Placed
CSE24099,Upkaar Parmer,CSE,1,64.8,21.0,5,75000,0,75000,Pending,N/A,0.0,Not Placed
AI24100,Ekavir Deol,AI,8,74.4,62.6,5,75000,75000,0,Paid,N/A,0.0,Not Placed
AI24101,Nathan Sandhu,AI,2,73.6,63.6,5,75000,75000,0,Paid,N/A,0.0,Not Placed
CSE24102,Ijaya Baral,CSE,8,73.0,60.0,5,75000,39633,35367,Partial,N/A,0.0,Not Placed
ME24103,Omkaar Dua,ME,2,67.0,78.0,5,75000,0,75000,Pending,N/A,0.0,Not Placed
IT24104,Frederick Sundaram,IT,7,81.0,93.8,5,75000,37775,37225,Partial,N/A,0.0,Not Placed
CSE24105,Orinder Nath,CSE,3,72.2,12.0,5,75000,0,75000,Pending,N/A,0.0,Not Placed
CSE24106,Eiravati Reddy,CSE,5,68.4,38.6,5,75000,45450,29550,Partial,N/A,0.0,Not Placed
AI24107,Dominic Swamy,AI,3,55.2,58.8,5,75000,0,75000,Pending,N/A,0.0,Not Placed
CE24108,Yatan Memon,CE,4,76.0,11.2,5,75000,31356,43644,Partial,N/A,0.0,Not Placed
CSE24109,Wishi Shetty,CSE,4,69.6,60.4,5,75000,57096,17904,Partial,N/A,0.0,Not Placed
CSE24110,Isaac Virk,CSE,7,72.2,91.0,5,75000,75000,0,Paid,N/A,0.0,Not Placed
IT24111,Ekapad Mannan,IT,1,79.4,21.4,5,75000,45557,29443,Partial,N/A,0.0,Not Placed
AI24112,Waida Dutta,AI,6,61.2,94.4,5,75000,36489,38511,Partial,N/A,0.0,Not Placed
IT24113,Avni Prabhakar,IT,2,75.0,54.0,5,75000,0,75000,Pending,N/A,0.0,Not Placed
AI24114,Kevin Mannan,AI,6,63.0,57.4,5,75000,39991,35009,Partial,N/A,0.0,Not Placed
ME24115,Azaan Mishra,ME,6,65.8,41.4,5,75000,0,75000,Pending,N/A,0.0,Not Placed
IT24116,Gopal Parekh,IT,5,72.8,59.6,5,75000,24201,50799,Partial,N/A,0.0,Not Placed
AI24117,Gautami Kannan,AI,5,77.2,18.4,5,75000,75000,0,Paid,N/A,0.0,Not Placed
CE24118,Ubika Mani,CE,4,66.0,59.2,5,75000,75000,0,Paid,N/A,0.0,Not Placed
CE24119,Gunbir Dara,CE,4,76.2,19.6,5,75000,75000,0,Paid,N/A,0.0,Not Placed
ME24120,Falan Sahota,ME,6,64.6,39.0,5,75000,0,75000,Pending,N/A,0.0,Not Placed
CSE24121,Ojasvi Chahal,CSE,7,77.2,44.2,5,75000,0,75000,Pending,N/A,0.0,Not Placed
AI24122,Lajita Mody,AI,4,65.6,41.0,5,75000,0,75000,Pending,N/A,0.0,Not Placed
CE24123,Krishna Bora,CE,4,74.4,56.8,5,75000,23646,51354,Partial,N/A,0.0,Not Placed
ME24124,Gagan Bahl,ME,8,66.0,6.4,5,75000,75000,0,Paid,N/A,0.0,Not Placed
CSE24125,Tamanna Kurian,CSE,2,67.4,40.8,5,75000,75000,0,Paid,N/A,0.0,Not Placed
IT24126,Anvi Guha,IT,2,70.0,76.6,5,75000,75000,0,Paid,N/A,0.0,Not Placed
CSE24127,Ansh Panchal,CSE,7,76.4,59.0,5,75000,66166,8834,Partial,N/A,0.0,Not Placed
ME24128,Tristan Bhatnagar,ME,3,65.2,94.2,5,75000,0,75000,Pending,N/A,0.0,Not Placed
ME24129,Champak Yogi,ME,6,61.6,43.0,5,75000,35682,39318,Partial,N/A,0.0,Not Placed
IT24130,Darsh Bail,IT,6,79.4,89.8,5,75000,35619,39381,Partial,N/A,0.0,Not Placed
IT24131,Kala Sani,IT,6,75.4,60.0,5,75000,54025,20975,Partial,N/A,0.0,Not Placed
CSE24132,Abha Bahri,CSE,8,66.2,59.0,5,75000,75000,0,Paid,N/A,0.0,Not Placed
CSE24133,Noah Venkatesh,CSE,2,60.0,40.2,5,75000,75000,0,Paid,N/A,0.0,Not Placed
AI24134,Kavya Pingle,AI,6,71.0,18.8,5,75000,0,75000,Pending,N/A,0.0,Not Placed
CSE24135,Sneha Madan,CSE,7,71.8,42.6,5,75000,75000,0,Paid,N/A,0.0,Not Placed
ME24136,Nathan Nigam,ME,5,62.0,76.4,5,75000,65043,9957,Partial,N/A,0.0,Not Placed
CSE24137,Warjas Chacko,CSE,7,69.0,44.0,5,75000,75000,0,Paid,N/A,0.0,Not Placed
CE24138,Pallavi Wadhwa,CE,3,73.2,76.2,5,75000,62379,12621,Partial,N/A,0.0,Not Placed
IT24139,Balveer Ghosh,IT,8,80.6,92.8,5,75000,0,75000,Pending,Capgemini,12.91,Placed
AI24140,Vivaan Om,AI,2,56.4,62.2,5,75000,49560,25440,Partial,N/A,0.0,Not Placed
IT24141,Rayaan Sant,IT,3,58.2,56.2,5,75000,0,75000,Pending,N/A,0.0,Not Placed
IT24142,Anay Ramachandran,IT,3,60.0,91.6,5,75000,69883,5117,Partial,N/A,0.0,Not Placed
AI24143,Anvi Chhabra,AI,5,64.2,21.2,5,75000,37763,37237,Partial,N/A,0.0,Not Placed
ME24144,Yahvi Munshi,ME,4,71.8,19.6,5,75000,30017,44983,Partial,N/A,0.0,Not Placed
CE24145,Jagdish Srinivasan,CE,6,66.8,40.4,5,75000,36048,38952,Partial,N/A,0.0,Not Placed
IT24146,Zayan Dayal,IT,2,60.4,15.2,5,75000,75000,0,Paid,N/A,0.0,Not Placed
IT24147,Devansh Suri,IT,5,60.2,17.6,5,75000,0,75000,Pending,N/A,0.0,Not Placed
AI24148,Jeet Kant,AI,8,78.2,91.4,5,75000,0,75000,Pending,N/A,0.0,Not Placed
CE24149,Ronith Gaba,CE,4,68.8,75.6,5,75000,67024,7976,Partial,N/A,0.0,Not Placed
CSE24150,Tara Dhingra,CSE,3,70.4,91.4,5,75000,57123,17877,Partial,N/A,0.0,Not Placed
CE24151,Abhiram Sarma,CE,5,53.6,18.6,5,75000,0,75000,Pending,N/A,0.0,Not Placed
IT24152,Isaiah Gandhi,IT,8,63.2,64.4,5,75000,40033,34967,Partial,N/A,0.0,Not Placed
ME24153,Falguni Nagi,ME,4,74.6,65.6,5,75000,75000,0,Paid,N/A,0.0,Not Placed
CSE24154,Eesha Naik,CSE,2,67.4,59.8,5,75000,75000,0,Paid,N/A,0.0,Not Placed
CSE24155,Ati Comar,CSE,2,69.6,37.8,5,75000,0,75000,Pending,N/A,0.0,Not Placed
CE24156,Xiti Lal,CE,6,85.4,59.4,5,75000,0,75000,Pending,N/A,0.0,Not Placed
IT24157,Gauri Ravel,IT,3,72.2,75.8,5,75000,0,75000,Pending,N/A,0.0,Not Placed
AI24158,Kritika Ahluwalia,AI,3,70.6,44.8,5,75000,0,75000,Pending,N/A,0.0,Not Placed
CSE24159,Shivansh More,CSE,6,62.4,76.2,5,75000,0,75000,Pending,N/A,0.0,Not Placed
IT24160,Ikshita Joshi,IT,7,59.8,41.2,5,75000,0,75000,Pending,N/A,0.0,Not Placed
IT24161,Anamika Bumb,IT,6,69.0,87.2,5,75000,25234,49766,Partial,N/A,0.0,Not Placed
IT24162,Jason Bawa,IT,5,62.6,91.4,5,75000,0,75000,Pending,N/A,0.0,Not Placed
CSE24163,Chameli Bumb,CSE,4,68.2,43.4,5,75000,0,75000,Pending,N/A,0.0,Not Placed
IT24164,Wakeeta Ramaswamy,IT,5,73.2,41.2,5,75000,47037,27963,Partial,N/A,0.0,Not Placed
IT24165,Gautam Rao,IT,5,56.6,40.8,5,75000,57809,17191,Partial,N/A,0.0,Not Placed
ME24166,Aradhana Dhingra,ME,7,83.8,77.2,5,75000,49960,25040,Partial,N/A,0.0,Not Placed
AI24167,Dev Narayanan,AI,4,72.4,54.4,5,75000,55265,19735,Partial,N/A,0.0,Not Placed
CE24168,Vasana Saxena,CE,2,63.8,94.8,5,75000,0,75000,Pending,N/A,0.0,Not Placed
CSE24169,Kalpit Gade,CSE,6,85.8,11.6,5,75000,0,75000,Pending,N/A,0.0,Not Placed
CSE24170,Girik Saran,CSE,4,86.6,93.8,5,75000,75000,0,Paid,N/A,0.0,Not Placed
IT24171,Aahana Murthy,IT,7,66.8,93.8,5,75000,75000,0,Paid,N/A,0.0,Not Placed
AI24172,Odika Chaudry,AI,3,67.8,16.2,5,75000,0,75000,Pending,N/A,0.0,Not Placed
ME24173,Advik Sama,ME,5,66.6,56.8,5,75000,0,75000,Pending,N/A,0.0,Not Placed
IT24174,Hemang Sankaran,IT,6,75.6,94.0,5,75000,0,75000,Pending,N/A,0.0,Not Placed
CE24175,Lopa Sunder,CE,6,64.0,11.2,5,75000,69776,5224,Partial,N/A,0.0,Not Placed
IT24176,Oscar Banik,IT,3,71.0,46.0,5,75000,51087,23913,Partial,N/A,0.0,Not Placed
ME24177,Priya Jani,ME,2,59.4,77.2,5,75000,30008,44992,Partial,N/A,0.0,Not Placed
ME24178,Vritti Barad,ME,3,66.6,40.6,5,75000,75000,0,Paid,N/A,0.0,Not Placed
ME24179,Chakradhar Natt,ME,7,55.4,39.2,5,75000,75000,0,Paid,N/A,0.0,Not Placed
IT24180,Darika Chacko,IT,2,57.4,62.2,5,75000,24558,50442,Partial,N/A,0.0,Not Placed
ME24181,Shivansh Parsa,ME,5,70.6,93.4,5,75000,44666,30334,Partial,N/A,0.0,Not Placed
ME24182,Nidhi Gandhi,ME,2,70.6,57.4,5,75000,0,75000,Pending,N/A,0.0,Not Placed
CE24183,Benjamin Doshi,CE,5,80.8,90.0,5,75000,75000,0,Paid,N/A,0.0,Not Placed
CSE24184,Sanya Modi,CSE,7,78.0,17.8,5,75000,0,75000,Pending,N/A,0.0,Not Placed
IT24185,Vedika Konda,IT,1,70.8,94.0,5,75000,51249,23751,Partial,N/A,0.0,Not Placed
ME24186,Barkha Khosla,ME,7,64.4,42.6,5,75000,69338,5662,Partial,N/A,0.0,Not Placed
AI24187,Yutika Randhawa,AI,2,85.0,19.0,5,75000,0,75000,Pending,N/A,0.0,Not Placed
ME24188,Tarak Pandya,ME,1,79.0,40.8,5,75000,0,75000,Pending,N/A,0.0,Not Placed
ME24189,Naveen Khatri,ME,1,76.0,75.2,5,75000,0,75000,Pending,N/A,0.0,Not Placed
AI24190,Kai Shukla,AI,2,72.8,22.6,5,75000,0,75000,Pending,N/A,0.0,Not Placed
ME24191,Mohammed Murthy,ME,7,67.2,9.6,5,75000,0,75000,Pending,N/A,0.0,Not Placed
ME24192,Vidhi Shankar,ME,5,62.0,90.6,5,75000,75000,0,Paid,N/A,0.0,Not Placed
CE24193,Kashish Dhingra,CE,2,77.6,91.2,5,75000,75000,0,Paid,N/A,0.0,Not Placed
AI24194,Devika Sridhar,AI,2,78.2,79.8,5,75000,47251,27749,Partial,N/A,0.0,Not Placed
AI24195,Tripti Panchal,AI,8,73.6,55.2,5,75000,53858,21142,Partial,N/A,0.0,Not Placed
AI24196,Arjun Agate,AI,5,83.0,13.2,5,75000,75000,0,Paid,N/A,0.0,Not Placed
CSE24197,Utkarsh Barman,CSE,2,78.6,80.0,5,75000,75000,0,Paid,N/A,0.0,Not Placed
CE24198,Riya Borde,CE,6,79.6,60.4,5,75000,0,75000,Pending,N/A,0.0,Not Placed
ME24199,Charan Dube,ME,6,78.2,64.0,5,75000,75000,0,Paid,N/A,0.0,Not Placed
AI24200,Upasna Wason,AI,1,62.4,14.8,5,75000,0,75000,Pending,N/A,0.0,Not Placed
ME24201,Qasim Wagle,ME,4,59.2,74.2,5,75000,31775,43225,Partial,N/A,0.0,Not Placed
ME24202,Tristan Mitra,ME,8,68.0,90.2,5,75000,0,75000,Pending,Accenture,8.49,Placed
CSE24203,Darpan Agate,CSE,1,61.6,11.0,5,75000,66404,8596,Partial,N/A,0.0,Not Placed
AI24204,Rajata Mahal,AI,1,65.6,78.6,5,75000,75000,0,Paid,N/A,0.0,Not Placed
CSE24205,Jeremiah Ranganathan,CSE,6,74.0,94.8,5,75000,0,75000,Pending,N/A,0.0,Not Placed
CE24206,Zayyan Rau,CE,3,88.4,91.4,5,75000,0,75000,Pending,N/A,0.0,Not Placed
CSE24207,Yachana Kulkarni,CSE,5,73.2,38.6,5,75000,29418,45582,Partial,N/A,0.0,Not Placed
IT24208,Yochana Varghese,IT,8,70.2,13.0,5,75000,44230,30770,Partial,N/A,0.0,Not Placed
CE24209,Ekapad Devi,CE,3,66.2,93.8,5,75000,75000,0,Paid,N/A,0.0,Not Placed
AI24210,Nihal Parikh,AI,4,69.4,45.2,5,75000,75000,0,Paid,N/A,0.0,Not Placed
IT24211,Krishna Zacharia,IT,8,61.4,42.8,5,75000,0,75000,Pending,Capgemini,13.57,Placed
AI24212,Faraj Koshy,AI,2,71.2,42.4,5,75000,0,75000,Pending,N/A,0.0,Not Placed
AI24213,Sneha Munshi,AI,6,81.0,90.4,5,75000,0,75000,Pending,N/A,0.0,Not Placed
CSE24214,Lavanya Balay,CSE,2,63.0,93.0,5,75000,75000,0,Paid,N/A,0.0,Not Placed
ME24215,Charvi Dutt,ME,3,63.8,42.2,5,75000,67577,7423,Partial,N/A,0.0,Not Placed
AI24216,Hritik Upadhyay,AI,2,61.0,39.8,5,75000,75000,0,Paid,N/A,0.0,Not Placed
AI24217,Utkarsh Kumer,AI,3,62.4,93.2,5,75000,0,75000,Pending,N/A,0.0,Not Placed
IT24218,Janaki Padmanabhan,IT,4,73.4,17.8,5,75000,0,75000,Pending,N/A,0.0,Not Placed
IT24219,Amrita Grover,IT,5,74.0,76.0,5,75000,0,75000,Pending,N/A,0.0,Not Placed
AI24220,Wishi Dani,AI,2,73.0,78.8,5,75000,52020,22980,Partial,N/A,0.0,Not Placed
IT24221,Rushil Krish,IT,3,72.0,55.2,5,75000,75000,0,Paid,N/A,0.0,Not Placed
CE24222,Jeremiah Rajagopalan,CE,1,67.0,91.4,5,75000,75000,0,Paid,N/A,0.0,Not Placed
IT24223,Gunbir Padmanabhan,IT,6,76.0,75.4,5,75000,38902,36098,Partial,N/A,0.0,Not Placed
AI24224,Yug Bora,AI,2,71.6,75.8,5,75000,0,75000,Pending,N/A,0.0,Not Placed
CE24225,Damini Palla,CE,5,59.6,39.0,5,75000,66056,8944,Partial,N/A,0.0,Not Placed
IT24226,Sara Lalla,IT,3,75.6,15.4,5,75000,75000,0,Paid,N/A,0.0,Not Placed
CSE24227,Yadavi Joshi,CSE,7,72.0,42.8,5,75000,0,75000,Pending,N/A,0.0,Not Placed
ME24228,Manya Chopra,ME,5,72.2,58.6,5,75000,75000,0,Paid,N/A,0.0,Not Placed
IT24229,Champak Deshmukh,IT,8,73.4,40.6,5,75000,75000,0,Paid,TCS,6.48,Placed
CSE24230,Oscar Rastogi,CSE,5,71.2,14.6,5,75000,75000,0,Paid,N/A,0.0,Not Placed
AI24231,Girik Panchal,AI,4,65.0,91.2,5,75000,75000,0,Paid,N/A,0.0,Not Placed
IT24232,Irya Rege,IT,3,54.4,91.2,5,75000,23558,51442,Partial,N/A,0.0,Not Placed
CSE24233,Manthan Loyal,CSE,7,64.6,29.4,5,75000,0,75000,Pending,N/A,0.0,Not Placed
IT24234,Kamya Oommen,IT,1,59.6,54.8,5,75000,57544,17456,Partial,N/A,0.0,Not Placed
ME24235,Yamini Master,ME,8,67.8,92.4,5,75000,75000,0,Paid,N/A,0.0,Not Placed
AI24236,Damini Kata,AI,4,54.8,38.8,5,75000,47544,27456,Partial,N/A,0.0,Not Placed
AI24237,Parth Ram,AI,4,73.6,59.8,5,75000,0,75000,Pending,N/A,0.0,Not Placed
CE24238,Jagrati Vohra,CE,8,79.6,92.0,5,75000,67881,7119,Partial,TCS,6.07,Placed
CE24239,Oeshi Vyas,CE,7,63.8,41.8,5,75000,75000,0,Paid,N/A,0.0,Not Placed
IT24240,Yashica Rajagopalan,IT,2,67.6,40.2,5,75000,56045,18955,Partial,N/A,0.0,Not Placed
IT24241,Veer Bains,IT,8,60.2,93.6,5,75000,58267,16733,Partial,N/A,0.0,Not Placed
ME24242,Anirudh Khanna,ME,5,73.0,7.6,5,75000,75000,0,Paid,N/A,0.0,Not Placed
CE24243,Neelima Balan,CE,2,67.8,60.6,5,75000,0,75000,Pending,N/A,0.0,Not Placed
CE24244,Wahab Korpal,CE,8,72.0,92.6,5,75000,59417,15583,Partial,N/A,0.0,Not Placed
IT24245,Aradhana Chaudhry,IT,7,86.4,89.6,5,75000,75000,0,Paid,N/A,0.0,Not Placed
ME24246,Ati Kalla,ME,7,70.6,16.4,5,75000,62665,12335,Partial,N/A,0.0,Not Placed
ME24247,Edhitha Toor,ME,7,76.8,77.8,5,75000,63577,11423,Partial,N/A,0.0,Not Placed
